,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury
1,Nikola Jokic,DEN,C,1.5,2.23,1.61,1.30,1.20,1.11,64.83,,
2,Giannis Antetokounmpo,MIL,F,2.4,2.72,1.74,3.20,1.90,2.41,65.72,,
3,Luka Doncic,DAL,G,3.3,2.79,2.82,4.20,3.00,3.71,63.44,,
6,Jayson Tatum,BOS,F,6.6,4.84,8.40,7.60,5.20,6.73,60.14,,
10,Ja Morant,MEM,G,11.6,7.14,7.87,18.40,8.00,16.70,54.58,,
7,Stephen Curry,GSW,G,9.3,7.93,11.54,6.00,12.10,8.93,49.65,OUT,Ankle
5,Kevin Durant,BKN,F,6.3,8.17,5.74,5.10,6.40,5.86,54.11,,
T12,Tyrese Haliburton,IND,G,16.1,8.98,27.23,13.50,15.90,14.88,53.28,GTD,Groin
4,Joel Embiid,PHI,C,5.1,9.01,5.02,3.40,4.30,3.84,51.35,,
8,Trae Young,ATL,G,10.8,10.65,10.37,10.90,11.10,10.92,51.65,,
9,LeBron James,LAL,F,11.3,11.26,6.85,15.80,10.10,12.36,49.15,,
16,Devin Booker,PHO,G,17.6,13.62,22.77,15.70,18.20,17.88,42.43,,
19,Dejounte Murray,ATL,G,22.6,15.29,29.90,20.50,22.90,24.39,44.76,,
33,Shai Gilgeous-Alexander,OKC,G,34.5,16.03,34.52,47.40,30.50,43.94,41.31,,
21,DeMar DeRozan,CHI,F,24.8,16.76,23.26,31.20,20.90,31.80,40.03,,
11,Karl-Anthony Towns,MIN,C,11.9,19.62,11.28,9.30,9.50,9.77,43.74,OUT,Calf
26,Donovan Mitchell,CLE,G,27.3,20.47,32.53,24.90,27.90,30.65,34.22,,
17,Anthony Davis,LAL,C,17.7,21.62,13.18,17.60,18.60,17.35,29.80,OUT,Illness
14,LaMelo Ball,CHA,G,16.7,21.65,18.52,13.20,13.70,16.52,43.05,OUT,Ankle
18,Domantas Sabonis,SAC,C,21.8,22.65,19.92,24.10,21.00,21.12,36.00,,
50,Jalen Brunson,NYK,G,53.0,26.04,55.20,64.30,55.90,63.67,31.60,,
22,Pascal Siakam,TOR,F,25.4,26.68,28.26,28.70,20.50,22.62,27.43,,
20,Anthony Edwards,MIN,G,23.7,28.68,30.07,20.40,18.00,21.11,22.71,,
32,Nikola Vucevic,CHI,C,34.2,28.93,32.87,35.00,37.70,36.28,30.35,,
35,Darius Garland,CLE,G,35.3,29.72,43.14,30.40,41.00,32.19,25.33,,
15,Damian Lillard,POR,G,17.4,29.94,14.07,13.90,14.80,14.29,29.63,,
28,Rudy Gobert,MIN,C,30.8,31.83,35.20,27.90,32.10,26.99,23.63,,
40,Jrue Holiday,MIL,G,41.8,32.19,43.77,42.50,46.70,43.89,27.83,,
24,Bam Adebayo,MIA,C,25.9,32.30,21.07,22.20,30.10,23.70,17.45,,
25,Zion Williamson,NOP,F,26.4,32.46,19.26,34.90,16.50,28.97,15.88,,
34,Jaylen Brown,BOS,F,35.1,34.74,36.96,38.60,25.40,39.69,17.95,,
30,Cade Cunningham,DET,G,31.7,35.50,37.45,31.50,26.90,27.02,31.37,OUT,Lower Leg
23,Kyrie Irving,BKN,G,25.5,36.08,20.48,16.80,34.00,20.08,14.27,,
36,De'Aaron Fox,SAC,G,37.3,38.10,27.75,45.80,34.30,40.70,18.88,,
37,Fred VanVleet,TOR,G,38.9,39.42,46.22,26.70,48.00,33.97,22.85,,
43,Julius Randle,NYK,F,47.2,42.92,30.74,66.90,42.20,53.36,14.04,,
T12,James Harden,PHI,G,16.1,43.56,13.39,8.30,7.60,7.55,15.18,,
42,Scottie Barnes,TOR,F,43.7,43.84,48.84,44.40,37.20,44.34,14.35,,
41,Evan Mobley,CLE,F,43.1,44.62,47.88,40.10,42.20,40.73,13.66,,
29,Jimmy Butler,MIA,F,31.6,44.95,19.37,30.30,31.00,32.16,14.26,OUT,Rest
31,Bradley Beal,WAS,G,33.8,45.16,21.87,35.00,32.20,34.77,14.17,OUT,Hamstring
27,Paul George,LAC,G,30.0,45.64,31.34,20.80,29.50,22.61,17.78,,
49,Terry Rozier,CHA,G,52.4,46.85,65.36,47.80,50.50,51.47,19.80,,
51,Paolo Banchero,ORL,F,58.2,50.81,54.76,73.10,51.20,61.16,10.02,,
52,Desmond Bane,MEM,G,58.6,50.88,79.22,49.90,60.90,51.95,19.90,OUT,Toe
47,CJ McCollum,NOP,G,50.2,51.97,46.76,51.30,46.10,54.91,16.51,,
62,Andrew Wiggins,GSW,F,69.2,53.14,62.99,82.10,59.40,88.19,8.68,OUT,Groin
45,Kristaps Porzingis,WAS,F,48.6,55.58,45.62,46.60,56.20,38.99,10.83,,
81,Lauri Markkanen,UTA,F,81.6,55.98,92.62,92.90,90.90,75.66,10.86,,
38,Zach LaVine,CHI,G,40.8,57.91,31.06,40.50,35.30,39.13,8.16,,
44,Brandon Ingram,NOP,F,47.8,63.08,37.50,50.90,39.60,48.01,8.69,OUT,Toe
70,Jakob Poeltl,SAS,C,75.1,66.71,86.68,71.20,84.80,66.00,9.33,GTD,Knee
48,Deandre Ayton,PHO,C,50.6,66.76,53.52,39.90,49.20,43.60,6.15,,
54,Khris Middleton,MIL,G,60.1,66.85,45.70,55.00,52.10,80.97,7.47,,
61,Alperen Sengun,HOU,C,68.4,67.93,77.07,67.50,69.30,60.17,7.47,,
75,Russell Westbrook,LAL,G,80.3,70.87,83.21,102.50,55.70,89.28,4.20,,
T84,Buddy Hield,IND,G,84.7,74.54,91.09,82.80,82.80,92.38,5.94,,
T79,Kevin Porter,HOU,G,81.4,76.88,83.22,103.20,67.70,75.93,4.99,,
55,Jonas Valanciunas,NOP,C,60.5,77.43,50.35,54.00,64.70,56.15,5.68,,
59,Tyrese Maxey,PHI,G,64.8,78.20,59.92,55.00,61.80,69.21,6.76,OUT,Foot
46,Chris Paul,PHO,G,49.7,78.38,47.30,36.20,46.10,40.37,5.83,GTD,Heel
T79,Myles Turner,IND,C,81.4,80.44,91.73,41.50,91.70,101.62,5.92,GTD,Hamstring
86,Kyle Kuzma,WAS,F,86.9,80.69,85.22,99.20,72.00,97.15,3.45,,
66,D'Angelo Russell,MIN,G,73.5,81.33,63.49,74.10,72.00,76.47,4.06,,
78,Mikal Bridges,PHO,F,80.8,81.49,103.12,59.40,87.10,72.70,4.60,,
64,Jordan Poole,GSW,G,73.0,81.66,74.17,65.10,71.00,72.97,2.01,,
58,Keldon Johnson,SAS,F,64.7,82.84,52.76,70.00,55.20,62.51,4.20,,
63,Jamal Murray,DEN,G,69.4,82.86,54.83,76.70,63.20,69.34,3.60,,
72,Tyler Herro,MIA,G,77.2,83.49,74.40,74.10,74.90,78.93,3.56,,
53,Josh Giddey,OKC,G,60.0,83.70,58.33,59.00,42.40,56.54,3.46,,
92,Anfernee Simons,POR,G,92.7,84.00,88.60,97.70,98.10,94.86,3.97,,
74,Devin Vassell,SAS,F,79.9,85.24,94.46,76.40,76.30,67.00,4.07,,
71,Tobias Harris,PHI,F,76.3,86.76,71.20,74.00,65.90,83.85,2.97,,
39,Kawhi Leonard,LAC,F,40.9,87.66,20.15,25.20,24.10,47.23,2.89,,
73,OG Anunoby,TOR,F,77.5,88.24,86.88,61.60,84.60,65.93,5.06,,
60,Jalen Green,HOU,G,67.4,92.32,56.49,66.70,59.50,61.86,2.62,,
57,Ben Simmons,BKN,F,63.4,93.11,45.61,76.30,46.10,55.77,2.12,OUT,Knee
82,Franz Wagner,ORL,F,84.0,93.32,96.31,74.50,78.80,76.86,2.26,,
T102,Bobby Portis,MIL,F,106.5,93.32,108.31,103.60,120.60,106.79,2.03,,
100,Spencer Dinwiddie,DAL,G,104.9,94.55,88.80,121.00,100.20,119.70,2.22,,
68,Klay Thompson,GSW,G,74.5,94.58,71.19,59.20,71.70,75.70,1.81,,
56,Jarrett Allen,CLE,C,61.9,95.67,66.67,44.00,58.20,44.79,2.43,,
69,Jusuf Nurkic,POR,C,74.6,98.74,59.83,70.80,69.20,74.63,1.57,,
67,John Collins,ATL,F,73.9,99.40,69.64,57.10,80.10,63.07,2.15,OUT,Ankle
T84,Collin Sexton,UTA,G,84.7,100.38,72.80,87.00,75.50,87.90,1.26,,
91,Saddiq Bey,DET,F,92.6,101.39,98.64,92.80,87.40,82.67,1.38,,
90,Jerami Grant,POR,F,92.0,104.68,89.51,80.40,92.30,93.10,2.38,,
88,Keegan Murray,SAC,F,87.8,104.77,64.68,94.90,86.30,88.37,0.98,,
T124,Kelly Oubre,CHA,F,125.2,105.69,135.13,136.10,122.60,126.34,2.08,,
65,Christian Wood,DAL,C,73.1,106.18,61.47,66.80,66.80,64.04,1.09,,
89,Draymond Green,GSW,F,91.2,106.51,91.83,78.80,98.10,80.76,1.00,OUT,Hip
143,Brook Lopez,MIL,C,139.3,106.53,143.71,120.20,189.10,136.91,2.63,,
83,Clint Capela,ATL,C,84.6,107.48,70.53,82.20,79.30,83.34,1.18,,
77,Michael Porter,DEN,F,80.5,107.84,82.95,59.80,73.70,78.15,1.38,OUT,Heel
113,Ivica Zubac,LAC,C,117.7,108.03,132.27,102.00,132.70,113.61,1.04,,
115,Jordan Clarkson,UTA,G,118.8,109.09,119.91,130.70,100.40,134.09,1.16,,
95,Tre Jones,SAS,G,101.3,109.16,105.94,103.70,88.20,99.25,1.12,,
108,Josh Hart,POR,F,114.6,110.06,116.69,122.30,108.60,115.19,0.89,,
76,RJ Barrett,NYK,G,80.4,111.63,57.00,95.10,54.40,83.89,0.93,,
109,Robert Williams,BOS,C,114.9,112.01,120.23,89.00,119.70,133.36,0.91,OUT,Knee
T96,Kyle Lowry,MIA,G,103.9,113.18,98.74,104.60,108.10,94.97,1.30,,
129,Bojan Bogdanovic,DET,F,126.3,113.40,121.65,119.80,137.00,139.75,1.05,,
105,Jaren Jackson,MEM,F,111.2,113.97,86.83,105.60,92.60,156.89,2.94,,
T122,Nicolas Claxton,BKN,C,124.7,114.72,135.25,127.80,131.90,113.59,1.55,,
94,Marcus Smart,BOS,G,95.9,115.10,91.78,87.80,94.80,90.04,1.18,,
121,Jalen Suggs,ORL,G,124.5,115.94,117.13,139.50,129.10,120.98,0.77,OUT,Ankle
98,Malcolm Brogdon,BOS,G,104.3,116.34,77.22,112.80,106.80,108.34,0.80,GTD,Illness
87,Wendell Carter,ORL,C,87.6,116.57,86.61,76.20,87.30,71.15,1.08,OUT,Foot
T122,Bennedict Mathurin,IND,G,124.7,117.33,121.81,132.60,115.70,136.24,1.20,,
T102,Gary Trent,TOR,G,106.5,117.70,118.31,88.80,110.70,97.07,0.86,,
657,Chris Boucher,TOR,F,150.4,118.38,-,138.00,190.70,154.70,0.81,,
710,Bol Bol,ORL,F,206.8,118.47,-,127.70,191.70,389.38,0.89,,
634,Kevin Huerter,SAC,G,141.9,120.15,141.81,141.40,147.70,158.64,0.92,,
130,Mike Conley,UTA,G,128.2,121.97,113.59,128.40,140.50,136.44,0.73,GTD,Leg
101,P.J. Washington,CHA,F,105.2,122.39,113.48,97.60,99.90,92.52,0.82,,
104,Mitchell Robinson,NYK,C,108.1,123.06,117.53,91.90,106.20,101.56,0.86,,
111,Jaden Ivey,DET,G,115.4,123.45,97.46,133.30,96.70,125.89,0.83,,
118,Steven Adams,MEM,C,120.6,124.48,106.60,128.00,123.90,120.16,0.86,,
739,Lonnie Walker,LAL,G,245.4,125.41,-,-,190.50,420.27,0.71,,
119,Aaron Gordon,DEN,F,121.1,128.19,101.57,134.40,114.30,127.27,0.76,,
120,Monte Morris,WAS,G,123.8,128.95,134.07,116.00,120.40,119.52,0.76,,
107,Brandon Clarke,MEM,F,114.3,129.39,118.46,102.80,113.20,107.41,0.70,,
114,Cole Anthony,ORL,G,118.2,130.52,118.53,125.80,93.00,123.02,0.68,,
639,Kelly Olynyk,UTA,C,144.4,130.99,143.06,138.70,174.50,134.53,0.74,,
134,Jarred Vanderbilt,UTA,F,130.5,131.33,146.00,124.50,129.70,121.19,0.95,,
T147,Bogdan Bogdanovic,ATL,G,139.9,131.45,126.76,135.10,146.30,160.02,0.68,,
117,Dillon Brooks,MEM,F,120.5,132.11,103.17,130.40,115.80,120.94,0.28,,
651,Andre Drummond,CHI,C,147.8,132.70,131.95,134.30,163.10,176.92,0.60,,
T96,Al Horford,BOS,C,103.9,133.00,97.22,83.10,105.50,100.87,0.29,,
675,Seth Curry,BKN,G,157.1,133.36,-,138.50,178.70,177.75,0.17,,
128,Caris LeVert,CLE,G,126.2,134.27,104.98,139.30,113.00,139.51,0.59,,
99,Gordon Hayward,CHA,F,104.8,134.85,80.35,109.20,98.60,101.23,0.70,OUT,Shoulder
650,Derrick White,BOS,G,147.7,134.94,151.56,141.00,156.90,153.90,0.06,,
112,John Wall,LAC,G,115.9,135.17,101.99,122.80,106.30,113.37,0.12,OUT,Knee
139,Lonzo Ball,CHI,G,137.6,135.73,128.85,132.00,144.90,146.64,0.05,OUT,Knee
93,Jabari Smith,HOU,F,94.1,136.79,73.78,100.60,79.40,80.11,0.14,,
721,Royce O'Neale,BKN,F,219.7,137.02,-,147.30,191.60,403.05,0.08,,
110,Harrison Barnes,SAC,F,115.1,137.36,95.86,106.00,117.20,119.25,0.11,,
673,Malik Beasley,UTA,G,156.0,137.41,149.78,141.30,175.80,175.65,0.04,,
142,Ayo Dosunmu,CHI,G,139.1,137.43,140.06,135.90,133.60,148.75,0.51,,
106,Jalen Smith,IND,F,113.4,137.61,122.55,110.10,106.00,90.80,0.23,,
668,Malik Monk,SAC,G,154.3,137.70,-,140.20,188.80,150.44,0.03,,
638,De'Anthony Melton,PHI,G,144.3,137.71,-,120.30,174.80,144.38,0.14,,
671,Marvin Bagley,DET,C,154.6,137.74,147.61,138.00,191.20,158.36,0.12,,
632,Kevin Love,CLE,F,140.2,137.91,109.10,136.40,169.90,147.83,0.02,,
645,Kevon Looney,GSW,C,146.2,137.93,-,133.00,190.70,123.21,0.05,,
116,Herbert Jones,NOP,F,120.3,138.10,134.75,90.40,129.90,108.48,0.11,GTD,Ankle
137,Luguentz Dort,OKC,F,136.2,138.12,127.65,141.40,143.80,129.99,0.09,,
637,Jaden McDaniels,MIN,F,144.0,138.22,-,127.80,164.30,145.72,0.20,,
660,Alex Caruso,CHI,G,151.3,138.27,-,124.00,179.70,163.37,0.03,GTD,Ankle
642,Isaiah Hartenstein,NYK,C,145.1,138.29,-,139.70,161.70,140.86,0.31,,
T643,Davion Mitchell,SAC,G,146.0,138.32,154.41,142.70,140.40,154.19,0.02,,
T131,Bones Hyland,DEN,G,129.6,138.33,128.62,129.30,125.40,126.25,0.11,,
640,Tim Hardaway,DAL,G,144.6,138.37,128.50,139.50,152.60,163.85,0.06,,
676,Kentavious Caldwell-Pope,DEN,G,158.4,138.55,160.07,140.30,187.40,165.56,0.02,,
695,Miles Bridges,FA,F,183.3,138.57,138.33,117.80,189.10,332.50,0.09,,
664,Patrick Beverley,LAL,G,152.6,138.84,154.83,137.70,181.20,150.64,0.03,,
745,Blake Griffin,BOS,C,252.0,138.85,-,-,192.00,425.27,0.03,,
663,Bruce Brown,DEN,G,151.9,138.91,-,148.30,165.80,154.78,0.03,,
690,Dennis Schroder,LAL,G,174.2,138.91,137.03,138.90,190.00,265.97,0.03,,
T702,Jose Alvarado,NOP,G,199.2,138.98,-,139.30,191.10,327.44,0.02,,
641,Jonathan Kuminga,GSW,F,144.9,138.98,-,137.50,136.20,167.08,0.05,,
653,Onyeka Okongwu,ATL,C,148.7,139.08,-,123.80,171.10,160.84,0.09,,
836,Shake Milton,PHI,G,327.7,139.09,-,-,-,516.40,0.07,,
T126,James Wiseman,GSW,C,125.7,139.09,123.72,118.50,118.00,129.32,0.02,,
692,Cameron Payne,PHO,G,180.9,139.11,-,139.80,190.50,254.27,0.01,,
699,Derrick Rose,NYK,G,192.6,139.16,153.45,134.80,190.90,344.73,0.02,,
133,Isaiah Jackson,IND,C,129.7,139.24,-,122.00,144.80,112.61,0.10,,
140,Reggie Jackson,LAC,G,137.9,139.27,142.88,142.40,138.50,126.47,0.03,,
708,Grayson Allen,MIL,G,204.0,139.33,-,140.20,191.90,344.43,0.06,,
700,Marcus Morris,LAC,F,192.9,139.37,-,138.20,191.60,302.43,0.01,OUT,Illness
828,Thaddeus Young,TOR,F,318.2,139.37,-,-,-,497.10,0.01,,
677,Trey Murphy,NOP,F,158.7,139.40,-,137.60,186.70,170.90,0.03,,
135,Isaiah Stewart,DET,C,134.6,139.41,143.06,120.80,151.80,117.83,0.01,,
666,Mason Plumlee,CHA,C,154.0,139.41,144.42,140.30,186.20,159.45,0.02,,
758,Austin Reaves,LAL,G,262.6,139.42,-,-,191.50,456.85,0.02,,
635,Dorian Finney-Smith,DAL,F,142.4,139.43,145.24,130.10,151.60,145.56,0.01,,
636,Mo Bamba,ORL,C,143.2,139.43,150.88,113.10,157.70,155.02,0.01,,
144,Dwight Howard,FA,C,139.5,139.49,-,-,-,-,0.01,,
771,Carmelo Anthony,FA,F,280.0,139.51,-,-,-,420.50,0.04,,
803,Justin Holiday,ATL,F,299.8,139.52,-,-,-,460.00,0.01,,
683,Grant Williams,BOS,F,161.6,139.52,-,139.50,191.30,175.95,0.08,,
670,Montrezl Harrell,PHI,C,154.5,139.53,148.85,138.30,180.40,165.37,0.02,,
732,Killian Hayes,DET,G,233.6,139.54,-,-,191.40,369.73,0.03,,
136,Tari Eason,HOU,F,134.9,139.57,138.14,140.70,118.40,137.44,0.09,,
T126,Cameron Johnson,PHO,F,125.7,139.58,125.29,123.50,124.40,115.83,0.08,OUT,Knee
T769,Thanasis Antetokounmpo,MIL,F,279.2,139.59,-,-,192.00,505.90,0.05,,
647,Obi Toppin,NYK,F,147.1,139.60,143.86,138.50,146.50,167.02,0.00,,
654,Walker Kessler,UTA,C,149.3,139.62,148.42,141.10,186.20,131.02,0.02,,
802,Payton Pritchard,BOS,G,298.9,139.62,-,-,-,458.18,-1,,
726,Patty Mills,BKN,G,228.0,139.65,-,138.60,191.70,442.13,0.00,,
665,JaVale McGee,DAL,C,153.8,139.66,-,136.50,189.20,149.69,0.03,,
T658,Aleksej Pokusevski,OKC,F,151.2,139.66,147.12,140.00,180.00,148.97,0.02,,
146,Yuta Watanabe,BKN,F,139.7,139.68,-,-,-,-,0.00,OUT,Hamstring
698,Joe Harris,BKN,G,186.9,139.68,150.52,140.50,190.80,313.14,0.02,,
806,DeMarcus Cousins,FA,C,301.1,139.69,-,-,-,462.47,0.01,,
712,Nikola Jovic,MIA,F,207.5,139.69,147.02,-,188.40,354.70,0.00,,
672,Thomas Bryant,LAL,C,155.8,139.71,149.14,140.70,188.90,160.54,0.01,,
145,Norman Powell,LAC,G,139.6,139.72,133.78,128.40,158.50,137.83,0.03,OUT,Groin
706,P.J. Tucker,PHI,F,201.5,139.72,-,135.40,191.40,339.40,0.00,,
720,Coby White,CHI,G,219.2,139.74,-,141.50,191.50,404.20,0.00,,
138,De'Andre Hunter,ATL,F,137.0,139.74,129.56,136.70,121.80,157.42,0.01,OUT,Hip
829,Boban Marjanovic,HOU,C,318.7,139.75,-,-,-,497.63,-1,,
728,Pat Connaughton,MIL,G,229.7,139.75,-,136.40,191.80,450.70,0.01,,
T655,Markelle Fultz,ORL,G,150.3,139.76,134.51,143.30,154.40,179.33,0.00,,
723,Donte DiVincenzo,GSW,G,222.0,139.76,-,139.90,191.10,417.04,0.00,,
T704,Devonte' Graham,NOP,G,200.4,139.78,155.97,139.50,171.80,394.95,-1,GTD,Toe
886,JaMychal Green,GSW,F,370.7,139.78,-,-,-,601.70,-1,,
749,DeAndre Jordan,DEN,C,255.2,139.79,-,-,191.70,434.04,0.02,,
667,Kendrick Nunn,LAL,G,154.2,139.79,137.88,140.90,183.40,168.87,-1,,
729,Ziaire Williams,MEM,F,230.9,139.80,-,-,191.60,361.35,0.01,GTD,Knee
T131,Chet Holmgren,OKC,F,129.6,139.80,-,119.40,-,-,-1,OFS,Foot
833,Tacko Fall,FA,C,325.0,139.80,-,-,-,510.17,0.02,,
772,Cedi Osman,CLE,F,280.2,139.81,-,-,191.90,508.90,0.00,,
722,Zach Collins,SAS,C,220.4,139.81,152.47,-,191.80,397.35,-1,,
776,Dwight Powell,DAL,C,283.6,139.81,-,-,-,427.36,-1,,
678,Talen Horton-Tucker,UTA,F,158.9,139.81,-,-,173.20,163.76,-1,,
693,Caleb Martin,MIA,F,181.5,139.81,-,-,191.30,213.51,0.03,,
914,Damion Lee,PHO,G,403.9,139.81,-,-,-,667.90,-1,,
862,Georges Niang,PHI,F,351.0,139.82,-,-,-,562.20,-1,GTD,Foot
T704,Jae Crowder,PHO,F,200.4,139.82,-,136.30,191.80,333.62,-1,OUT,Not Injury Related
T876,Sam Hauser,BOS,F,362.8,139.82,-,-,-,585.70,0.00,,
890,Troy Brown,LAL,F,372.3,139.82,-,-,-,604.70,-1,,
768,Rudy Gay,UTA,F,274.6,139.83,-,-,191.70,492.27,-1,,
141,Jae'Sean Tate,HOU,F,138.6,139.83,117.47,142.00,141.50,151.97,0.02,GTD,Ankle
680,Jonathan Isaac,ORL,F,159.8,139.83,144.15,141.60,181.20,192.03,0.01,OUT,Knee
